Identity,Evaluation,Potency,Activity,Toyota,Ford,BMW,Mercedes,,Position in E,Position in A,Top 5 entities,Euclidean Distance,,TMeanE,TMeanP,TMeanA,FMeanE,FMeanP,FMeanA,BMeanE,BMeanP,BMeanA,MMeanE,MMeanP,MMeanA
house husband,0.44,-0.4,-0.42,2.65,3.03,3.7,3.83,,,,,,,,,,,,,,,,,,
houseguest,1.63,0.21,0.49,1.28,1.9,2.26,2.39,,,,,,,,,,,,,,,,,,
housewife,1.26,0.5,0.22,1.32,1.76,2.33,2.46,,,,,,,,,,,,,,,,,,
hunk,0.78,0.98,0.38,1.55,1.44,2.34,2.47,,,,,,,,,,,,,,,,,,
husband,1.74,1.41,1.13,0.93,0.64,1.18,1.32,,,,,,,,,,,,,,,,,,
hussy,-0.56,0.08,0.31,3.11,2.92,3.92,4.05,,,,,,,,,,,,,,,,,,
idiot,-1.07,-1.47,-0.81,4.53,4.72,5.53,5.67,,,,,,,,,,,,,,,,,,
ignoramus,-1.19,-1.6,-1.02,4.75,4.97,5.77,5.9,,,,,,,,,,,,,,,,,,
illegitimate child,-0.6,-0.35,0.48,3.34,3.21,4.16,4.29,,,,,,,,,,,,,,,,,,
infant,2.23,-1.46,0.57,2.77,3.58,3.63,3.74,,,,,,,,,,,,,,,,,,
informer,0.62,0.92,-0.12,1.8,1.85,2.68,2.81,,,,,,,,,,,,,,,,,,
innocent,1.92,-0.42,-0.66,2.06,3.02,3.17,3.28,,,,,,,,,,,,,,,,,,
insider,-0.13,0.97,0.2,2.46,2.13,3.18,3.3,,,,,,,,,,,,,,,,,,
instructor,1.76,1.31,1.33,1.08,0.77,1.25,1.39,,,,,,,,,,,,,,,,,,
intern,1.31,-0.82,0.56,2.35,2.88,3.28,3.41,,,,,,,,,,,,,,,,,,
interviewee,0.93,-0.38,-0.08,2.22,2.72,3.27,3.4,,,,,,,,,,,,,,,,,,
interviewer,0.53,1.64,0.53,1.81,1.18,2.29,2.41,,,,,,,,,,,,,,,,,,
intimate,1.81,1.42,0.75,0.61,0.74,1.17,1.31,,,,,,,,,,,,,,,,,,
introvert,0.24,-1.07,-0.92,3.41,3.88,4.49,4.62,,,,,,,,,,,,,,,,,,
invalid,-1.09,-1.36,-1.57,4.74,5.01,5.78,5.91,,,,,,,,,,,,,,,,,,
jerk,-1.99,-1.05,0.65,4.9,4.66,5.67,5.81,,,,,,,,,,,,,,,,,,
Jew,1.2,0.82,0.09,1.24,1.58,2.22,2.34,,,,,,,,,,,,,,,,,,
jock,0.37,1.04,1.66,2.32,1.58,2.62,2.75,,,,,,,,,,,,,,,,,,
judge,0.67,1.6,-0.31,1.8,1.68,2.52,2.62,,,,,,,,,,,,,,,,,,
juror,0.66,1.3,0.06,1.67,1.51,2.43,2.54,,,,,,,,,,,,,,,,,,
kid,1.08,-0.06,1.87,2.34,2.24,2.81,2.94,,,,,,,,,,,,,,,,,,
klutz,-0.41,-1.22,0.04,3.72,3.89,4.67,4.81,,,,,,,,,,,,,,,,,,
know-it-all,-0.97,-0.27,0.96,3.67,3.36,4.37,4.51,,,,,,,,,,,,,,,,,,
laborer,1.23,0.39,0.21,1.42,1.86,2.42,2.56,,,,,,,,,,,,,,,,,,
lackey,-0.45,-1.17,-0.57,3.82,4.08,4.84,4.97,,,,,,,,,,,,,,,,,,
lady-killer,-2.11,1.06,0.77,4.43,3.74,4.93,5.05,,,,,,,,,,,,,,,,,,
lady,2.55,1.11,0.97,0.65,1.38,1.01,1.13,,,,,,,,,,,,,,,,,,
lawyer,0.52,1.06,0.8,1.84,1.39,2.43,2.57,,,,,,,,,,,,,,,,,,
leader,2.17,3.01,2.16,2.46,1.61,1.49,1.48,,,,,,,,,,,,,,,,,,
lecher,-0.64,0,-0.38,3.31,3.28,4.21,4.34,,,,,,,,,,,,,,,,,,
lecturer,0.41,0.96,0.31,1.92,1.7,2.68,2.81,,,,,,,,,,,,,,,,,,
lesbian,0.35,0.11,0.9,2.34,2.22,3.09,3.23,,,,,,,,,,,,,,,,,,
liar,-2.62,-1.34,-0.17,5.61,5.45,6.46,6.6,,,,,,,,,,,,,,,,,,
liberal,1.1,0.51,0.65,1.46,1.61,2.3,2.44,,,,,,,,,,,,,,,,,,
librarian,1.07,-0.7,-1.79,3.21,3.98,4.34,4.44,,,,,,,,,,,,,,,,,,
